Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch294_file4	8415	0	0	0	0	0	0
ch275_file20	959	0	0	0	0	0	0
ch286_file108	2883	0	0	0	0	0	0
ch164_file61	3998	0	0	0	0	0	0
ch433_file11	5967	0	0	0	0	0	0
ch434_file9	4383	0	0	0	0	0	0
ch110_file173	1253	0	0	0	0	0	0
ch243_file33	1826	0	0	0	0	0	0
ch196_file56	4530	0	0	0	0	0	0
ch421_file13	5995	0	0	0	0	0	0
ch1_file24	12165	0	0	0	0	0	0
ch140_file48	3591	0	0	0	0	0	0
ch374_file158	8234	0	0	0	0	0	0
ch284_file3	5295	0	0	0	0	0	0
ch214_file65	5520	0	0	0	0	0	0
ch11_file198	4203	0	0	0	0	0	0
ch249_file77	3701	0	0	0	0	0	0
ch281_file14	4074	0	0	0	0	0	0
ch17_file5	3983	0	0	0	0	0	0
ch512_file50	1538	0	0	0	0	0	0
ch276_file133	6597	0	0	0	0	0	0
ch144_file37	5711	0	0	0	0	0	0
ch66_file109	1309	0	0	0	0	0	0
ch286_file165	3263	0	0	0	0	0	0
ch139_file10	5444	0	0	0	0	0	0
ch335_file147	1624	0	0	0	0	0	0
ch211_file29	4177	0	0	0	0	0	0
ch206_file5	2410	0	0	0	0	0	0
ch215_file125	3594	0	0	0	0	0	0
ch452_file85	5794	0	0	0	0	0	0
ch407_file38	2692	0	0	0	0	0	0
ch449_file50	3493	0	0	0	0	0	0
ch154_file90	6358	0	0	0	0	0	0
ch75_file14	8256	0	0	0	0	0	0
ch351_file12	1347	0	0	0	0	0	0
ch368_file14	5571	0	0	0	0	0	0
ch202_file128	6527	0	0	0	0	0	0
ch412_file8	7616	0	0	0	0	0	0
ch11_file133	4338	0	0	0	0	0	0
ch251_file41	568	0	0	0	0	0	0
ch466_file79	3297	0	0	0	0	0	0
ch362_file13	7103	0	0	0	0	0	0
ch360_file247	2014	0	0	0	0	0	0
ch66_file275	2196	0	0	0	0	0	0
ch243_file36	4299	0	0	0	0	0	0
ch374_file18	7898	0	0	0	0	0	0
ch178_file6	4573	0	0	0	0	0	0
ch300_file9	1032	0	0	0	0	0	0
ch61_file24	2423	0	0	0	0	0	0
ch84_file87	3583	0	0	0	0	0	0
ch196_file29	2356	0	0	0	0	0	0
ch66_file298	2923	0	0	0	0	0	0
ch53_file4	5305	0	0	0	0	0	0
ch181_file31	7527	0	0	0	0	0	0
ch510_file59	6133	0	0	0	0	0	0
ch42_file38	5944	0	0	0	0	0	0
ch101_file16	4885	0	0	0	0	0	0
ch26_file131	5771	0	0	0	0	0	0
ch468_file28	5430	0	0	0	0	0	0
ch139_file24	1354	0	0	0	0	0	0
ch214_file153	2146	0	0	0	0	0	0
ch251_file113	9585	0	0	0	0	0	0
ch195_file0	8071	0	0	0	0	0	0
ch281_file8	5831	0	0	0	0	0	0
ch154_file97	4754	0	0	0	0	0	0
ch493_file9	3891	0	0	0	0	0	0
ch84_file103	3661	0	0	0	0	0	0
ch244_file5	10239	0	0	0	0	0	0
ch20_file2	458	0	0	0	0	0	0
ch281_file53	4190	0	0	0	0	0	0
ch253_file41	3965	0	0	0	0	0	0
ch94_file204	4586	0	0	0	0	0	0
ch327_file6	1233	0	0	0	0	0	0
ch485_file39	3549	0	0	0	0	0	0
ch214_file76	4938	0	0	0	0	0	0
ch509_file5	4018	0	0	0	0	0	0
ch223_file50	5338	0	0	0	0	0	0
ch208_file195	4244	0	0	0	0	0	0
ch302_file153	4090	0	0	0	0	0	0
ch110_file125	1466	0	0	0	0	0	0
ch351_file13	7793	0	0	0	0	0	0
ch146_file1	3074	0	0	0	0	0	0
ch83_file3	7033	0	0	0	0	0	0
ch456_file9	588	0	0	0	0	0	0
ch1_file149	2251	0	0	0	0	0	0
ch101_file9	8782	0	0	0	0	0	0
ch16_file11	5319	0	0	0	0	0	0
ch281_file0	837	0	0	0	0	0	0
ch140_file60	1238	0	0	0	0	0	0
ch276_file108	3029	0	0	0	0	0	0
ch184_file115	7884	0	0	0	0	0	0
ch223_file64	2250	0	0	0	0	0	0
ch436_file14	2676	0	0	0	0	0	0
ch325_file2	3229	0	0	0	0	0	0
ch224_file104	1003	0	0	0	0	0	0
ch53_file17	7928	0	0	0	0	0	0
ch84_file10	1748	0	0	0	0	0	0
ch195_file128	4079	0	0	0	0	0	0
ch474_file49	4487	0	0	0	0	0	0
ch327_file4	4098	0	0	0	0	0	0
ch208_file15	1387	0	0	0	0	0	0
ch281_file60	5121	0	0	0	0	0	0
ch61_file18	4025	0	0	0	0	0	0
ch248_file16	5865	0	0	0	0	0	0
ch306_file46	4687	0	0	0	0	0	0
ch302_file45	6306	0	0	0	0	0	0
ch374_file20	6295	0	0	0	0	0	0
ch286_file109	7378	0	0	0	0	0	0
ch294_file1	1707	0	0	0	0	0	0
ch155_file5	3963	0	0	0	0	0	0
ch411_file19	2096	0	0	0	0	0	0
ch216_file147	5294	0	0	0	0	0	0
ch281_file131	4034	0	0	0	0	0	0
ch166_file29	1485	0	0	0	0	0	0
ch189_file3	1022	0	0	0	0	0	0
ch326_file4	4124	0	0	0	0	0	0
ch18_file116	5696	0	0	0	0	0	0
