Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch415_file17	5247	0	0	0	0	0	0
ch302_file153	4095	0	0	0	0	0	0
ch223_file50	5252	0	0	0	0	0	0
ch361_file8	5651	0	0	0	0	0	0
ch211_file29	4040	0	0	0	0	0	0
ch423_file16	1503	0	0	0	0	0	0
ch284_file3	5371	0	0	0	0	0	0
ch26_file75	4189	0	0	0	0	0	0
ch504_file17	1379	0	0	0	0	0	0
ch306_file123	4547	0	0	0	0	0	0
ch251_file113	9181	0	0	0	0	0	0
ch248_file32	5927	0	0	0	0	0	0
ch208_file195	4035	0	0	0	0	0	0
ch75_file5	4614	0	0	0	0	0	0
ch474_file49	4332	0	0	0	0	0	0
ch166_file29	1522	0	0	0	0	0	0
ch248_file16	5650	0	0	0	0	0	0
ch1_file24	12018	0	0	0	0	0	0
ch198_file37	5276	0	0	0	0	0	0
ch453_file96	5919	0	0	0	0	0	0
ch164_file61	3743	0	0	0	0	0	0
ch140_file48	3499	0	0	0	0	0	0
ch181_file31	7476	0	0	0	0	0	0
ch452_file85	5869	0	0	0	0	0	0
ch214_file153	2151	0	0	0	0	0	0
ch336_file63	3520	0	0	0	0	0	0
ch53_file17	7582	0	0	0	0	0	0
ch215_file125	3861	0	0	0	0	0	0
ch285_file20	7290	0	0	0	0	0	0
ch98_file65	1314	0	0	0	0	0	0
ch354_file16	4081	0	0	0	0	0	0
ch281_file131	3837	0	0	0	0	0	0
ch374_file158	8027	0	0	0	0	0	0
ch48_file7	5690	0	0	0	0	0	0
ch244_file5	9840	0	0	0	0	0	0
ch407_file38	2581	0	0	0	0	0	0
ch368_file14	5208	0	0	0	0	0	0
ch306_file46	4518	0	0	0	0	0	0
ch83_file3	6737	0	0	0	0	0	0
ch326_file4	4061	0	0	0	0	0	0
