Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch184_file115	7372	0	0	0	0	0	0
ch336_file63	3516	0	0	0	0	0	0
ch139_file10	4537	0	0	0	0	0	0
ch481_file7	6919	0	0	0	0	0	0
ch223_file50	4738	0	0	0	0	0	0
ch110_file39	5273	0	0	0	0	0	0
ch294_file4	7831	0	0	0	0	0	0
ch11_file133	4230	0	0	0	0	0	0
ch326_file4	3566	0	0	0	0	0	0
ch61_file24	2270	0	0	0	0	0	0
ch423_file16	1524	0	0	0	0	0	0
ch244_file5	9405	0	0	0	0	0	0
ch368_file83	5649	0	0	0	0	0	0
ch354_file16	4135	0	0	0	0	0	0
ch314_file4	3211	0	0	0	0	0	0
ch251_file113	9650	0	0	0	0	0	0
ch408_file8	3366	0	0	0	0	0	0
ch248_file16	5308	0	0	0	0	0	0
ch83_file3	6799	0	0	0	0	0	0
ch433_file121	5912	0	0	0	0	0	0
ch216_file147	4886	0	0	0	0	0	0
ch214_file76	4451	0	0	0	0	0	0
ch407_file43	6711	0	0	0	0	0	0
ch253_file41	3799	0	0	0	0	0	0
ch375_file73	6864	0	0	0	0	0	0
ch166_file5	1985	0	0	0	0	0	0
ch53_file17	7362	0	0	0	0	0	0
ch19_file194	2335	0	0	0	0	0	0
ch284_file15	4646	0	0	0	0	0	0
ch281_file131	3587	0	0	0	0	0	0
ch452_file47	3170	0	0	0	0	0	0
ch405_file34	3167	0	0	0	0	0	0
ch139_file41	2151	0	0	0	0	0	0
ch374_file20	5956	0	0	0	0	0	0
ch468_file5	6951	0	0	0	0	0	0
ch436_file14	2531	0	0	0	0	0	0
ch361_file8	6078	0	0	0	0	0	0
ch366_file15	1254	0	0	0	0	0	0
ch195_file0	7069	0	0	0	0	0	0
ch285_file20	6745	0	0	0	0	0	0
ch101_file9	8291	0	0	0	0	0	0
ch411_file59	2367	0	0	0	0	0	0
ch26_file36	5552	0	0	0	0	0	0
ch374_file158	8077	0	0	0	0	0	0
ch433_file11	5501	0	0	0	0	0	0
