Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch135_file4	3621	66	57	56	52	45	39
ch172_file66	890	14	11	9	8	7	5
ch91_file13	1206	24	16	15	12	10	7
ch290_file73	2062	24	22	19	13	12	11
ch294_file4	8415	193	170	148	121	105	102
ch275_file20	959	22	19	16	12	11	7
ch292_file49	4314	81	68	59	51	47	36
ch286_file108	2883	57	43	36	30	26	17
ch164_file61	3998	80	62	48	42	38	27
ch433_file11	5967	123	104	86	71	57	46
ch434_file9	4383	81	62	51	45	40	35
ch375_file17	6473	108	90	76	60	52	47
ch110_file173	1253	26	22	17	15	8	7
ch86_file82	597	6	6	4	3	2	1
ch243_file33	1826	31	26	22	18	16	12
ch154_file15	1401	25	22	19	13	11	10
ch426_file89	952	20	15	14	10	8	7
ch157_file54	2792	49	45	40	33	25	19
ch248_file10	676	19	13	11	7	6	6
ch196_file56	4530	78	61	50	39	33	29
ch421_file13	5995	95	81	67	54	39	34
ch327_file84	3483	71	60	48	43	34	29
ch160_file5	3464	60	50	40	33	26	21
ch1_file24	12165	194	158	119	94	76	58
ch140_file48	3591	55	45	31	27	24	20
ch214_file35	3426	57	53	45	43	34	25
ch106_file4	3323	74	61	51	39	30	21
ch374_file158	8234	160	125	94	74	58	46
ch284_file3	5295	106	91	77	64	56	52
ch162_file35	3352	70	64	54	43	36	32
ch172_file52	1612	23	20	17	15	14	10
ch1_file103	6655	104	74	62	54	50	39
ch214_file65	5520	91	71	56	42	34	28
ch406_file140	3651	71	61	52	48	44	38
ch11_file198	4203	59	46	43	36	29	22
ch249_file77	3701	59	52	39	30	25	20
ch281_file14	4074	64	55	42	32	26	21
ch17_file5	3983	65	50	44	31	26	24
ch296_file10	947	23	20	14	11	9	7
ch512_file50	1538	28	25	20	16	14	13
ch276_file133	6597	97	69	50	41	36	26
ch144_file37	5711	77	58	50	41	33	27
ch66_file109	1309	22	20	16	14	11	10
ch148_file4	1456	30	24	18	11	7	6
ch406_file74	4563	84	65	50	42	32	26
ch286_file165	3263	69	61	50	45	40	35
ch149_file8	2365	41	33	27	26	24	21
ch461_file64	8391	141	108	84	63	58	52
ch139_file10	5444	97	74	57	46	37	26
ch335_file147	1624	27	23	20	17	13	12
ch504_file44	1937	43	33	31	21	17	13
ch202_file6	5425	107	92	84	70	57	49
ch26_file18	3370	64	57	47	42	35	30
ch281_file46	5189	87	61	49	39	28	21
ch248_file96	1296	23	19	15	12	8	4
ch78_file40	2460	41	33	26	23	19	15
ch211_file29	4177	52	45	36	29	22	16
ch206_file5	2410	32	24	18	16	12	10
ch285_file41	740	10	8	6	4	2	1
ch215_file125	3594	50	39	25	19	14	10
ch452_file85	5794	116	98	79	58	52	45
ch407_file38	2692	42	35	30	28	24	18
ch449_file50	3493	49	46	37	29	24	18
ch84_file70	7022	121	109	88	82	71	61
ch154_file90	6358	114	100	85	70	56	42
ch75_file14	8256	105	81	76	61	53	42
ch154_file38	3348	58	42	32	27	22	16
ch26_file19	1244	22	14	9	7	4	2
ch512_file2	982	17	13	13	10	9	9
ch468_file34	3212	58	50	38	32	25	20
ch351_file12	1347	27	23	13	10	10	8
ch368_file14	5571	117	102	88	67	55	44
ch202_file128	6527	125	105	84	63	56	43
ch303_file24	5599	103	85	74	67	55	47
ch362_file10	1930	29	22	20	17	15	12
ch412_file8	7616	148	125	108	90	81	71
ch155_file33	3887	70	52	42	31	27	23
ch214_file68	2209	35	29	24	22	19	17
ch11_file133	4338	71	62	48	36	25	20
ch214_file12	9339	180	150	128	106	85	69
ch415_file29	4453	69	58	43	39	32	27
ch366_file30	4640	94	79	71	62	54	45
ch251_file41	568	13	12	7	7	7	7
ch450_file123	4071	75	62	46	39	33	26
ch154_file6	1036	19	16	12	9	8	6
ch466_file79	3297	66	58	51	45	37	31
ch296_file23	1090	18	17	14	12	11	9
ch361_file28	3244	57	44	37	30	25	17
ch362_file13	7103	112	95	83	72	59	46
ch360_file247	2014	35	22	18	14	11	11
ch66_file275	2196	31	22	15	10	9	8
ch243_file36	4299	77	60	53	45	33	27
ch291_file20	3377	57	47	41	34	31	25
ch374_file18	7898	165	141	117	103	85	77
ch415_file82	832	12	9	7	5	5	3
ch178_file6	4573	87	73	67	57	46	40
ch1_file119	1093	19	18	16	9	7	6
ch300_file9	1032	18	13	9	8	6	6
ch61_file24	2423	38	30	25	21	16	14
ch84_file87	3583	59	52	44	34	32	30
ch196_file29	2356	35	30	23	15	13	12
ch66_file298	2923	58	45	34	28	21	18
ch53_file4	5305	100	86	75	58	51	47
ch181_file31	7527	164	144	123	110	93	80
ch510_file59	6133	114	87	70	57	40	34
ch42_file38	5944	93	77	67	54	47	36
ch101_file16	4885	84	74	62	60	56	44
ch360_file53	3968	73	64	49	39	33	25
ch285_file18	1863	37	29	25	18	14	12
ch450_file35	4441	92	81	64	57	53	46
ch452_file143	3343	59	45	37	27	21	18
ch162_file55	3473	78	73	59	50	42	35
ch202_file199	4565	88	70	53	44	36	32
ch26_file131	5771	124	107	91	78	68	56
ch326_file112	1614	20	17	15	12	11	10
ch468_file28	5430	85	71	60	50	40	27
ch452_file7	2079	49	40	31	22	18	17
ch216_file111	3255	45	36	30	26	18	15
ch155_file208	8207	131	116	95	78	63	52
ch139_file24	1354	24	18	14	13	9	5
ch214_file153	2146	43	36	32	28	24	21
ch251_file113	9585	160	144	133	114	104	89
ch195_file0	8071	165	129	109	92	81	74
ch281_file8	5831	93	68	53	42	26	21
ch154_file97	4754	79	65	55	40	33	26
ch493_file9	3891	61	50	42	31	23	21
ch368_file80	3109	59	50	45	35	29	25
ch140_file26	6092	126	106	88	73	59	45
ch84_file103	3661	56	47	43	33	25	23
ch244_file5	10239	189	175	152	140	119	103
ch243_file5	2255	43	37	34	32	27	22
ch302_file32	3521	74	62	55	48	46	37
ch176_file108	3334	50	40	32	22	20	18
ch20_file2	458	10	9	7	5	3	3
ch281_file53	4190	66	54	41	28	20	15
ch486_file11	4417	83	77	71	61	49	42
ch199_file98	1242	29	27	22	18	15	14
ch253_file41	3965	73	61	54	45	39	30
ch94_file204	4586	80	66	44	36	27	22
ch374_file36	1073	22	19	16	16	15	12
ch133_file64	4715	71	60	48	37	29	25
ch284_file64	2236	38	27	23	19	14	13
ch408_file15	1817	39	31	30	26	21	18
ch422_file26	2245	29	24	20	17	12	9
ch11_file1	863	13	6	6	6	4	1
ch294_file16	2585	56	51	46	40	38	31
ch327_file6	1233	25	22	17	13	12	10
ch251_file28	2966	56	49	42	34	30	27
ch449_file1	530	6	3	3	2	2	2
ch485_file39	3549	65	52	40	32	25	17
ch214_file76	4938	100	85	69	56	51	41
ch509_file5	4018	91	80	61	52	44	36
ch223_file50	5338	92	74	63	50	40	35
ch20_file1	963	22	18	15	14	13	10
ch466_file109	6830	124	100	83	67	54	46
ch456_file13	4494	72	56	46	39	34	30
ch208_file195	4244	82	70	57	43	37	33
ch302_file153	4090	61	45	38	26	18	13
ch214_file130	6579	104	87	71	62	46	33
ch110_file125	1466	24	22	16	12	9	7
ch351_file13	7793	139	108	87	73	62	53
ch146_file1	3074	60	53	49	43	37	29
ch136_file20	4883	71	63	50	41	31	27
ch83_file3	7033	130	115	107	91	79	70
ch366_file1	2524	49	40	36	28	25	21
ch75_file90	7659	131	111	92	75	62	52
ch456_file9	588	12	11	10	8	7	7
ch1_file149	2251	49	40	34	28	20	18
ch162_file45	6167	137	111	98	79	68	56
ch160_file18	932	12	10	8	7	6	5
ch101_file9	8782	162	133	117	100	79	70
ch16_file11	5319	77	60	52	44	32	26
ch281_file0	837	9	7	7	3	1	0
ch140_file60	1238	23	17	14	13	12	11
ch276_file108	3029	53	46	39	30	28	25
ch18_file177	3585	54	41	31	23	19	17
ch184_file115	7884	163	130	108	88	78	68
ch223_file64	2250	40	33	30	23	20	16
ch134_file17	8617	159	122	108	86	67	59
ch360_file4	1836	41	35	30	27	23	20
ch249_file88	3687	66	54	47	40	35	33
ch436_file14	2676	43	37	33	30	28	24
ch325_file2	3229	59	47	34	31	29	26
