Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch176_file45	1722	6	3	0	0	0	0
ch452_file47	3181	7	3	1	0	0	0
ch78_file1	655	0	0	0	0	0	0
ch155_file35	753	1	1	1	1	0	0
ch162_file81	2692	12	8	5	3	1	1
ch249_file88	3706	18	14	5	2	0	0
ch110_file125	1504	7	4	3	3	1	1
ch155_file33	3717	11	6	4	2	1	1
ch406_file46	1858	3	1	0	0	0	0
ch415_file17	5247	27	16	8	7	2	1
ch14_file1	3916	25	18	10	5	3	2
ch281_file22	4260	8	6	2	1	0	0
ch303_file24	5359	29	22	12	11	4	3
ch181_file18	6075	40	23	15	6	3	2
ch302_file153	4095	11	6	2	1	1	1
ch360_file110	1479	5	2	0	0	0	0
ch162_file35	3319	15	10	8	5	4	3
ch351_file13	7699	29	17	12	8	5	3
ch42_file38	5629	7	3	1	0	0	0
ch422_file14	933	3	2	0	0	0	0
ch162_file45	6112	33	25	17	12	7	3
ch493_file9	3762	13	9	5	4	1	0
ch110_file173	1327	6	4	1	1	0	0
ch223_file50	5252	14	7	1	0	0	0
ch296_file33	6135	28	19	11	9	7	5
ch374_file36	1126	6	4	1	0	0	0
ch354_file31	3640	11	9	7	4	3	2
ch243_file36	5738	12	9	5	4	4	3
ch20_file78	4525	6	2	2	1	1	1
ch251_file28	2875	4	4	2	1	0	0
ch327_file6	1226	7	3	1	1	0	0
ch361_file8	5651	28	24	15	5	3	2
ch133_file53	2776	9	2	2	1	1	1
ch468_file5	6663	21	15	9	7	3	3
ch466_file127	7571	30	19	12	6	5	4
ch202_file142	5419	27	14	8	6	4	2
ch214_file130	6427	12	9	6	2	1	0
ch441_file28	1918	9	6	4	1	1	1
ch458_file160	5433	25	13	7	3	3	1
ch248_file81	2636	24	15	11	8	4	2
ch211_file29	4040	11	7	6	3	1	0
ch189_file3	1011	6	2	1	1	1	1
ch290_file73	1920	3	1	0	0	0	0
ch281_file8	6106	6	5	3	2	1	1
ch423_file16	1503	6	3	2	0	0	0
ch276_file133	6547	20	7	5	4	3	2
