Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch149_file12	5417	12	8	2	1	1	0
ch306_file46	4561	26	18	10	6	3	3
ch19_file2	3944	17	10	6	5	3	3
ch166_file29	1393	1	1	1	1	1	0
ch140_file48	3028	5	2	1	0	0	0
ch68_file26	2231	14	7	5	3	2	0
ch276_file108	2719	7	4	1	1	0	0
ch176_file108	3067	6	4	1	0	0	0
ch11_file127	5710	25	15	10	7	5	4
ch184_file115	7372	31	19	6	3	2	2
ch133_file64	4298	19	14	5	2	2	2
ch421_file13	5712	19	8	4	1	0	0
ch66_file130	6252	41	29	19	14	10	7
ch154_file38	2925	6	4	1	1	1	1
ch199_file12	3152	16	5	3	2	2	2
ch512_file21	2184	11	7	3	3	1	1
ch441_file23	1694	12	10	7	3	1	1
ch135_file43	2291	5	4	3	3	2	2
ch328_file9	1231	4	2	2	1	0	0
ch166_file57	5526	6	3	3	3	0	0
ch336_file11	5228	24	15	10	8	4	2
ch275_file20	859	2	1	1	1	0	0
ch286_file2	1315	8	5	4	2	2	2
ch284_file18	5001	28	16	12	6	2	1
ch221_file7	2263	4	3	1	0	0	0
ch336_file63	3516	13	7	5	3	2	1
ch224_file1	2301	11	7	3	2	1	1
ch248_file15	733	6	1	0	0	0	0
ch294_file1	1526	9	5	3	2	1	1
ch170_file0	1245	11	7	5	4	3	2
ch249_file88	3448	9	4	3	3	2	1
ch99_file7	3229	19	12	7	5	1	1
ch202_file20	5510	17	7	3	2	1	1
ch106_file237	3693	10	4	2	0	0	0
ch26_file113	8021	18	8	3	0	0	0
ch300_file94	2209	7	4	2	1	1	1
ch139_file10	4537	13	8	5	1	1	1
ch94_file204	4388	9	7	4	2	0	0
ch214_file53	5530	17	12	6	4	1	0
ch9_file30	1486	4	1	1	1	1	0
ch441_file17	3987	24	17	8	6	4	3
ch327_file4	3575	22	15	9	6	2	1
ch281_file22	4049	9	4	2	1	0	0
ch195_file13	2596	10	5	2	2	2	2
ch202_file6	4667	16	9	3	3	2	2
ch465_file55	676	1	1	1	1	0	0
ch139_file34	2407	8	6	2	1	1	0
ch504_file17	1174	7	4	3	1	1	0
ch481_file7	6919	39	27	17	12	5	3
ch18_file25	634	2	1	1	1	1	0
ch415_file29	4027	11	7	2	0	0	0
ch509_file57	3387	10	7	7	3	2	2
ch248_file107	2085	8	3	3	1	0	0
ch157_file54	2630	8	6	6	3	1	0
ch106_file4	3137	20	11	8	6	2	2
ch154_file6	894	3	2	2	0	0	0
ch360_file247	1761	3	1	0	0	0	0
ch243_file77	4913	23	14	7	5	3	2
ch223_file50	4738	14	7	5	3	1	0
ch75_file134	5811	29	21	15	8	4	2
ch140_file54	1294	4	3	1	1	0	0
ch110_file39	5273	25	17	9	5	2	0
ch133_file36	4691	22	11	7	5	1	0
ch294_file4	7831	52	34	22	14	9	6
ch218_file117	4220	7	3	2	2	1	1
ch456_file9	515	3	2	2	1	0	0
ch91_file13	1020	4	1	1	1	0	0
ch187_file3	5577	17	11	7	7	5	3
ch290_file21	838	10	8	7	4	3	3
ch368_file14	5145	31	22	13	9	6	4
ch11_file133	4230	12	9	4	2	1	1
ch326_file4	3566	22	16	11	9	5	3
ch285_file0	2409	7	5	4	3	1	0
ch196_file14	2013	6	3	3	3	2	0
ch61_file24	2270	21	13	8	6	5	3
ch224_file43	7823	15	6	4	3	2	1
ch303_file73	5446	28	19	12	5	4	3
ch327_file141	1629	8	6	4	2	1	0
ch181_file18	5526	34	23	12	7	5	2
ch155_file33	3325	7	3	2	2	0	0
ch423_file16	1524	15	12	7	5	3	3
ch453_file99	4950	22	14	10	7	6	4
ch202_file128	6311	27	10	8	4	1	0
ch66_file62	2442	7	3	1	1	1	0
ch361_file21	3051	3	2	1	0	0	0
ch375_file27	4171	21	15	9	2	2	2
ch139_file24	1130	7	2	1	0	0	0
ch244_file5	9405	56	36	18	14	10	7
ch196_file26	4493	19	12	9	6	5	2
ch367_file17	1339	7	3	3	1	1	1
ch135_file40	3044	16	10	7	3	0	0
ch362_file13	6634	28	18	10	9	6	2
ch303_file24	5149	19	13	4	3	2	2
ch407_file35	5332	27	13	10	5	3	2
ch368_file83	5649	28	15	10	5	2	0
