Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch294_file4_strand.fast5_BaseCalled_2D.fasta.maf	ch294_file4	53.77	6351	1731	+	8415	NC_005139	120317	1768	+	3354505	1850	0	0.00	0.00	0	NaN	20.57	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch275_file20_strand.fast5_BaseCalled_2D.fasta.maf	ch275_file20	52.24	7	940	+	959	NC_005139	1007792	948	+	3354505	1007	0	0.00	0.00	0	NaN	98.02	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch286_file108_strand.fast5_BaseCalled_2D.fasta.maf	ch286_file108	49.32	208	969	+	2883	NC_005139	514896	944	+	3354505	1027	0	0.00	0.00	0	NaN	33.61	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch164_file61_strand.fast5_BaseCalled_2D.fasta.maf	ch164_file61	52.28	50	2119	+	3998	NC_005139	2715850	2118	+	3354505	2264	0	0.00	0.00	0	NaN	53.00	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch433_file11_strand.fast5_BaseCalled_2D.fasta.maf	ch433_file11	53.93	3350	2266	+	5967	NC_005139	1542723	2295	+	3354505	2446	0	0.00	0.00	0	NaN	37.98	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch434_file9_strand.fast5_BaseCalled_2D.fasta.maf	ch434_file9	47.46	2527	674	+	4383	NC_005139	515241	710	+	3354505	732	0	0.00	0.00	0	NaN	15.38	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch110_file173_strand.fast5_BaseCalled_2D.fasta.maf	ch110_file173	50.20	3	544	+	1253	NC_005139	2908569	588	+	3354505	601	0	0.00	0.00	0	NaN	43.42	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch196_file56_strand.fast5_BaseCalled_2D.fasta.maf	ch196_file56	51.83	339	2589	+	4530	NC_005139	3161897	2574	+	3354505	2770	0	0.00	0.00	0	NaN	57.15	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch421_file13_strand.fast5_BaseCalled_2D.fasta.maf	ch421_file13	51.79	39	2734	+	5995	NC_005139	1410354	2726	+	3354505	2920	0	0.00	0.00	0	NaN	45.60	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch1_file24_strand.fast5_BaseCalled_2D.fasta.maf	ch1_file24	46.90	7937	4119	+	12165	NC_005139	903124	3025	+	3354505	2785	0	0.00	0.00	0	NaN	33.86	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch140_file48_strand.fast5_BaseCalled_2D.fasta.maf	ch140_file48	51.16	10	3572	+	3591	NC_005139	388170	3578	+	3354505	3819	0	0.00	0.00	0	NaN	99.47	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch374_file158_strand.fast5_BaseCalled_2D.fasta.maf	ch374_file158	51.70	27	4296	+	8234	NC_005139	9190	4359	+	3354505	4616	0	0.00	0.00	0	NaN	52.17	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch284_file3_strand.fast5_BaseCalled_2D.fasta.maf	ch284_file3	52.26	1227	4053	+	5295	NC_005139	751655	4425	+	3354505	4321	0	0.00	0.00	0	NaN	76.54	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file65_strand.fast5_BaseCalled_2D.fasta.maf	ch214_file65	52.36	4225	545	+	5520	NC_005139	49084	685	+	3354505	443	0	0.00	0.00	0	NaN	9.87	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch11_file198_strand.fast5_BaseCalled_2D.fasta.maf	ch11_file198	52.32	557	3468	+	4203	NC_005139	3085284	3072	+	3354505	3180	0	0.00	0.00	0	NaN	82.51	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch281_file14_strand.fast5_BaseCalled_2D.fasta.maf	ch281_file14	48.36	2676	487	+	4074	NC_005139	3019024	489	+	3354505	526	0	0.00	0.00	0	NaN	11.95	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch512_file50_strand.fast5_BaseCalled_2D.fasta.maf	ch512_file50	47.92	25	768	+	1538	NC_005139	515171	780	+	3354505	819	0	0.00	0.00	0	NaN	49.93	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch276_file133_strand.fast5_BaseCalled_2D.fasta.maf	ch276_file133	45.91	6264	301	+	6597	NC_005139	1058485	301	+	3354505	320	0	0.00	0.00	0	NaN	4.56	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch144_file37_strand.fast5_BaseCalled_2D.fasta.maf	ch144_file37	49.17	4907	506	+	5711	NC_005139	3019024	540	+	3354505	556	0	0.00	0.00	0	NaN	8.86	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch66_file109_strand.fast5_BaseCalled_2D.fasta.maf	ch66_file109	55.46	517	441	+	1309	NC_005139	2502247	426	+	3354505	458	0	0.00	0.00	0	NaN	33.69	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch286_file165_strand.fast5_BaseCalled_2D.fasta.maf	ch286_file165	43.82	38	838	+	3263	NC_005139	2416020	848	+	3354505	886	0	0.00	0.00	0	NaN	25.68	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch139_file10_strand.fast5_BaseCalled_2D.fasta.maf	ch139_file10	50.46	4470	974	+	5444	NC_005139	3257785	941	+	3354505	1037	0	0.00	0.00	0	NaN	17.89	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch335_file147_strand.fast5_BaseCalled_2D.fasta.maf	ch335_file147	53.63	6	837	+	1624	NC_005139	3032182	892	+	3354505	917	0	0.00	0.00	0	NaN	51.54	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch211_file29_strand.fast5_BaseCalled_2D.fasta.maf	ch211_file29	49.92	451	3529	+	4177	NC_005139	2754424	3455	+	3354505	3770	0	0.00	0.00	0	NaN	84.49	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch206_file5_strand.fast5_BaseCalled_2D.fasta.maf	ch206_file5	52.57	5	290	+	2410	NC_005139	2981456	292	+	3354505	310	0	0.00	0.00	0	NaN	12.03	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch215_file125_strand.fast5_BaseCalled_2D.fasta.maf	ch215_file125	52.20	2132	1382	+	3594	NC_005139	405396	1440	+	3354505	1507	0	0.00	0.00	0	NaN	38.45	0	0	0	0	0	0
