Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch135_file4_strand.fast5_BaseCalled_2D.fasta.maf	ch135_file4	45.29	30	3517	+	3621	DNA_CS	47	3455	+	3560	3628	3169	87.35	87.52	83	10.89	97.13	66	57	56	52	45	39
N79596_dh10b_8kb_11022015_0627_1_ch160_file5_strand.fast5_BaseCalled_2D.fasta.maf	ch160_file5	45.15	0	3448	+	3464	DNA_CS	9	3551	+	3560	3679	3004	81.65	86.72	64	6.80	99.54	60	50	40	33	26	21
N79596_dh10b_8kb_11022015_0627_1_ch214_file35_strand.fast5_BaseCalled_2D.fasta.maf	ch214_file35	45.48	23	3392	+	3426	DNA_CS	47	3502	+	3560	3628	2948	81.26	86.05	67	6.78	99.01	57	53	45	43	34	25
N79596_dh10b_8kb_11022015_0627_1_ch406_file140_strand.fast5_BaseCalled_2D.fasta.maf	ch406_file140	44.86	16	3543	+	3651	DNA_CS	0	3507	+	3560	3694	3138	84.95	85.95	87	9.28	97.04	71	61	52	48	44	38
N79596_dh10b_8kb_11022015_0627_1_ch214_file68_strand.fast5_BaseCalled_2D.fasta.maf	ch214_file68	47.94	32	2131	+	2209	DNA_CS	49	2227	+	3560	2307	1850	80.19	83.75	62	6.73	96.47	35	29	24	22	19	17
N79596_dh10b_8kb_11022015_0627_1_ch452_file143_strand.fast5_BaseCalled_2D.fasta.maf	ch452_file143	46.75	43	3289	+	3343	DNA_CS	61	3484	+	3560	3596	2785	77.45	83.31	48	5.64	98.38	59	45	37	27	21	18
N79596_dh10b_8kb_11022015_0627_1_ch162_file55_strand.fast5_BaseCalled_2D.fasta.maf	ch162_file55	43.82	15	3450	+	3473	DNA_CS	28	3527	+	3560	3641	3195	87.75	92.00	63	10.83	99.34	78	73	59	50	42	35
N79596_dh10b_8kb_11022015_0627_1_ch302_file32_strand.fast5_BaseCalled_2D.fasta.maf	ch302_file32	44.31	37	3463	+	3521	DNA_CS	15	3502	+	3560	3642	3142	86.27	89.24	67	10.47	98.35	74	62	55	48	46	37
N79596_dh10b_8kb_11022015_0627_1_ch176_file108_strand.fast5_BaseCalled_2D.fasta.maf	ch176_file108	45.74	34	3291	+	3334	DNA_CS	48	3494	+	3560	3611	2867	79.40	85.99	45	6.17	98.71	50	40	32	22	20	18
N79596_dh10b_8kb_11022015_0627_1_ch18_file177_strand.fast5_BaseCalled_2D.fasta.maf	ch18_file177	45.02	32	3445	+	3585	DNA_CS	47	3450	+	3560	3635	2943	80.96	82.09	59	6.69	96.09	54	41	31	23	19	17
N79596_dh10b_8kb_11022015_0627_1_ch285_file89_strand.fast5_BaseCalled_2D.fasta.maf	ch285_file89	45.99	3	3407	+	3418	DNA_CS	2	3550	+	3560	3675	3062	83.32	89.58	54	7.97	99.68	75	58	42	34	27	24
N79596_dh10b_8kb_11022015_0627_1_ch154_file122_strand.fast5_BaseCalled_2D.fasta.maf	ch154_file122	47.33	43	2176	+	2227	DNA_CS	61	2137	+	3560	2291	1804	78.74	81.01	44	6.01	97.71	29	21	16	11	8	7
N79596_dh10b_8kb_11022015_0627_1_ch199_file12_strand.fast5_BaseCalled_2D.fasta.maf	ch199_file12	45.22	30	3550	+	3587	DNA_CS	45	3507	+	3560	3695	3138	84.93	87.48	59	9.15	98.97	69	56	47	41	34	30
N79596_dh10b_8kb_11022015_0627_1_ch135_file40_strand.fast5_BaseCalled_2D.fasta.maf	ch135_file40	46.23	1	3463	+	3478	DNA_CS	4	3543	+	3560	3698	2970	80.31	85.39	86	6.40	99.57	55	45	38	30	27	23
N79596_dh10b_8kb_11022015_0627_1_ch99_file7_strand.fast5_BaseCalled_2D.fasta.maf	ch99_file7	45.46	30	3475	+	3528	DNA_CS	47	3495	+	3560	3636	3078	84.65	87.24	81	9.11	98.50	66	57	51	46	40	36
N79596_dh10b_8kb_11022015_0627_1_ch466_file113_strand.fast5_BaseCalled_2D.fasta.maf	ch466_file113	44.13	166	2963	+	3136	DNA_CS	223	3337	+	3560	3392	2615	77.09	83.39	40	5.85	94.48	46	33	23	15	12	10
N79596_dh10b_8kb_11022015_0627_1_ch138_file0_strand.fast5_BaseCalled_2D.fasta.maf	ch138_file0	45.81	23	3240	+	3314	DNA_CS	48	3439	+	3560	3555	2758	77.58	83.22	50	5.65	97.77	43	31	22	17	13	12
