Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch172_file66_strand.fast5_BaseCalled_2D.fasta.maf	ch172_file66	51.46	11	879	+	890	gi|170079663|ref|NC_010473.1|	3940369	906	+	4686137	944	765	81.04	85.96	43	7.57	98.76	14	11	9	8	7	5
N79596_dh10b_8kb_11022015_0627_1_ch91_file13_strand.fast5_BaseCalled_2D.fasta.maf	ch91_file13	46.52	2	1166	+	1206	gi|170079663|ref|NC_010473.1|	1960407	1201	+	4686137	1245	1048	84.18	86.90	29	8.19	96.68	24	16	15	12	10	7
N79596_dh10b_8kb_11022015_0627_1_ch290_file73_strand.fast5_BaseCalled_2D.fasta.maf	ch290_file73	51.45	37	2013	+	2062	gi|170079663|ref|NC_010473.1|	885163	2184	+	4686137	2238	1757	78.51	85.21	97	6.10	97.62	24	22	19	13	12	11
N79596_dh10b_8kb_11022015_0627_1_ch294_file4_strand.fast5_BaseCalled_2D.fasta.maf	ch294_file4	53.77	5	8392	+	8415	gi|170079663|ref|NC_010473.1|	3697539	8352	+	4686137	8697	7700	88.54	91.50	84	11.98	99.73	193	170	148	121	105	102
N79596_dh10b_8kb_11022015_0627_1_ch275_file20_strand.fast5_BaseCalled_2D.fasta.maf	ch275_file20	52.24	0	952	+	959	gi|170079663|ref|NC_010473.1|	752333	958	+	4686137	999	847	84.78	88.32	47	8.64	99.27	22	19	16	12	11	7
N79596_dh10b_8kb_11022015_0627_1_ch292_file49_strand.fast5_BaseCalled_2D.fasta.maf	ch292_file49	50.72	4	4268	+	4314	gi|170079663|ref|NC_010473.1|	1475546	4421	+	4686137	4602	3794	82.44	87.95	72	7.76	98.93	81	68	59	51	47	36
N79596_dh10b_8kb_11022015_0627_1_ch286_file108_strand.fast5_BaseCalled_2D.fasta.maf	ch286_file108	49.32	12	2861	+	2883	gi|170079663|ref|NC_010473.1|	2189156	2853	+	4686137	3024	2445	80.85	84.81	63	7.05	99.24	57	43	36	30	26	17
N79596_dh10b_8kb_11022015_0627_1_ch164_file61_strand.fast5_BaseCalled_2D.fasta.maf	ch164_file61	52.28	47	3942	+	3998	gi|170079663|ref|NC_010473.1|	4659991	4009	+	4686137	4176	3512	84.10	87.84	109	7.77	98.60	80	62	48	42	38	27
N79596_dh10b_8kb_11022015_0627_1_ch433_file11_strand.fast5_BaseCalled_2D.fasta.maf	ch433_file11	53.93	13	5904	+	5967	gi|170079663|ref|NC_010473.1|	3680792	5840	+	4686137	6164	5239	84.99	87.80	78	9.14	98.94	123	104	86	71	57	46
N79596_dh10b_8kb_11022015_0627_1_ch434_file9_strand.fast5_BaseCalled_2D.fasta.maf	ch434_file9	47.46	13	4355	+	4383	gi|170079663|ref|NC_010473.1|	2065892	4396	+	4686137	4627	3846	83.12	87.75	79	7.85	99.36	81	62	51	45	40	35
N79596_dh10b_8kb_11022015_0627_1_ch375_file17_strand.fast5_BaseCalled_2D.fasta.maf	ch375_file17	51.40	3	6450	+	6473	gi|170079663|ref|NC_010473.1|	1362715	6403	+	4686137	6795	5534	81.44	85.49	96	7.34	99.64	108	90	76	60	52	47
N79596_dh10b_8kb_11022015_0627_1_ch110_file173_strand.fast5_BaseCalled_2D.fasta.maf	ch110_file173	50.20	87	1164	+	1253	gi|170079663|ref|NC_010473.1|	3148499	1255	+	4686137	1281	1056	82.44	84.28	51	8.19	92.90	26	22	17	15	8	7
N79596_dh10b_8kb_11022015_0627_1_ch86_file82_strand.fast5_BaseCalled_2D.fasta.maf	ch86_file82	51.59	1	594	+	597	gi|170079663|ref|NC_010473.1|	1422996	595	+	4686137	631	511	80.98	85.59	41	5.94	99.50	6	6	4	3	2	1
N79596_dh10b_8kb_11022015_0627_1_ch243_file33_strand.fast5_BaseCalled_2D.fasta.maf	ch243_file33	54.60	40	1740	+	1826	gi|170079663|ref|NC_010473.1|	2920761	1711	+	4686137	1827	1499	82.05	82.09	40	7.00	95.29	31	26	22	18	16	12
N79596_dh10b_8kb_11022015_0627_1_ch154_file15_strand.fast5_BaseCalled_2D.fasta.maf	ch154_file15	55.17	20	1379	+	1401	gi|170079663|ref|NC_010473.1|	3302584	1400	+	4686137	1460	1236	84.66	88.22	36	8.64	98.43	25	22	19	13	11	10
N79596_dh10b_8kb_11022015_0627_1_ch426_file89_strand.fast5_BaseCalled_2D.fasta.maf	ch426_file89	48.95	3	945	+	952	gi|170079663|ref|NC_010473.1|	2946648	959	+	4686137	1001	812	81.12	85.29	52	7.25	99.26	20	15	14	10	8	7
N79596_dh10b_8kb_11022015_0627_1_ch157_file54_strand.fast5_BaseCalled_2D.fasta.maf	ch157_file54	51.76	34	2755	+	2792	gi|170079663|ref|NC_010473.1|	3249023	2866	+	4686137	2965	2351	79.29	84.20	41	6.59	98.67	49	45	40	33	25	19
N79596_dh10b_8kb_11022015_0627_1_ch248_file10_strand.fast5_BaseCalled_2D.fasta.maf	ch248_file10	35.65	2	665	+	676	gi|170079663|ref|NC_010473.1|	4379645	670	+	4686137	701	610	87.02	90.24	47	11.30	98.37	19	13	11	7	6	6
N79596_dh10b_8kb_11022015_0627_1_ch196_file56_strand.fast5_BaseCalled_2D.fasta.maf	ch196_file56	51.83	12	4518	+	4530	gi|170079663|ref|NC_010473.1|	4486415	4400	+	4686137	4700	3834	81.57	84.64	91	7.09	99.74	78	61	50	39	33	29
N79596_dh10b_8kb_11022015_0627_1_ch421_file13_strand.fast5_BaseCalled_2D.fasta.maf	ch421_file13	51.79	17	5971	+	5995	gi|170079663|ref|NC_010473.1|	1439967	6055	+	4686137	6368	5083	79.82	84.79	78	6.29	99.60	95	81	67	54	39	34
N79596_dh10b_8kb_11022015_0627_1_ch327_file84_strand.fast5_BaseCalled_2D.fasta.maf	ch327_file84	43.15	24	3419	+	3483	gi|170079663|ref|NC_010473.1|	3899482	3539	+	4686137	3638	3061	84.14	87.88	76	8.75	98.16	71	60	48	43	34	29
N79596_dh10b_8kb_11022015_0627_1_ch1_file24_strand.fast5_BaseCalled_2D.fasta.maf	ch1_file24	46.90	0	12159	+	12165	gi|170079663|ref|NC_010473.1|	702799	12680	+	4686137	13189	10550	79.99	86.72	80	6.53	99.95	194	158	119	94	76	58
N79596_dh10b_8kb_11022015_0627_1_ch140_file48_strand.fast5_BaseCalled_2D.fasta.maf	ch140_file48	51.16	9	3582	+	3591	gi|170079663|ref|NC_010473.1|	3541332	3575	+	4686137	3798	3019	79.49	84.07	71	6.40	99.75	55	45	31	27	24	20
N79596_dh10b_8kb_11022015_0627_1_ch106_file4_strand.fast5_BaseCalled_2D.fasta.maf	ch106_file4	50.11	11	3288	+	3323	gi|170079663|ref|NC_010473.1|	469851	3399	+	4686137	3527	2951	83.67	88.81	66	8.53	98.95	74	61	51	39	30	21
N79596_dh10b_8kb_11022015_0627_1_ch374_file158_strand.fast5_BaseCalled_2D.fasta.maf	ch374_file158	51.70	17	8203	+	8234	gi|170079663|ref|NC_010473.1|	3969263	8404	+	4686137	8770	7254	82.71	88.10	89	7.55	99.62	160	125	94	74	58	46
N79596_dh10b_8kb_11022015_0627_1_ch284_file3_strand.fast5_BaseCalled_2D.fasta.maf	ch284_file3	52.26	5	5286	+	5295	gi|170079663|ref|NC_010473.1|	362309	5437	+	4686137	5635	4694	83.30	88.65	58	8.19	99.83	106	91	77	64	56	52
N79596_dh10b_8kb_11022015_0627_1_ch162_file35_strand.fast5_BaseCalled_2D.fasta.maf	ch162_file35	46.93	18	3334	+	3352	gi|170079663|ref|NC_010473.1|	2852733	3432	+	4686137	3519	3047	86.59	90.90	86	9.93	99.46	70	64	54	43	36	32
N79596_dh10b_8kb_11022015_0627_1_ch172_file52_strand.fast5_BaseCalled_2D.fasta.maf	ch172_file52	48.51	11	1596	+	1612	gi|170079663|ref|NC_010473.1|	4606377	1608	+	4686137	1686	1376	81.61	85.36	55	7.32	99.01	23	20	17	15	14	10
N79596_dh10b_8kb_11022015_0627_1_ch1_file103_strand.fast5_BaseCalled_2D.fasta.maf	ch1_file103	50.01	4	6625	+	6655	gi|170079663|ref|NC_010473.1|	1173328	6538	+	4686137	6969	5582	80.10	83.88	77	6.45	99.55	104	74	62	54	50	39
N79596_dh10b_8kb_11022015_0627_1_ch214_file65_strand.fast5_BaseCalled_2D.fasta.maf	ch214_file65	52.36	15	5503	+	5520	gi|170079663|ref|NC_010473.1|	4075019	5528	+	4686137	5843	4722	80.81	85.54	56	6.58	99.69	91	71	56	42	34	28
N79596_dh10b_8kb_11022015_0627_1_ch11_file198_strand.fast5_BaseCalled_2D.fasta.maf	ch11_file198	52.32	0	4202	+	4203	gi|170079663|ref|NC_010473.1|	4227831	3921	+	4686137	4315	3418	79.21	81.32	70	6.35	99.98	59	46	43	36	29	22
N79596_dh10b_8kb_11022015_0627_1_ch249_file77_strand.fast5_BaseCalled_2D.fasta.maf	ch249_file77	50.63	70	3621	+	3701	gi|170079663|ref|NC_010473.1|	2506244	3785	+	4686137	3910	3176	81.23	85.81	62	6.77	97.84	59	52	39	30	25	20
N79596_dh10b_8kb_11022015_0627_1_ch281_file14_strand.fast5_BaseCalled_2D.fasta.maf	ch281_file14	48.36	441	3628	+	4074	gi|170079663|ref|NC_010473.1|	4371460	3629	+	4686137	3846	3058	79.51	75.06	49	6.56	89.05	64	55	42	32	26	21
