Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch415_file17_strand.fast5_BaseCalled_Complement.fasta.maf	ch415_file17	50.56	3288	377	+	5247	NC_005139	2363992	427	+	3354505	443	0	0.00	0.00	0	NaN	7.19	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch302_file153_strand.fast5_BaseCalled_Complement.fasta.maf	ch302_file153	49.67	121	871	+	4095	NC_005139	3269115	909	+	3354505	964	0	0.00	0.00	0	NaN	21.27	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch223_file50_strand.fast5_BaseCalled_Complement.fasta.maf	ch223_file50	49.70	2118	1350	+	5252	NC_005139	2818340	1411	+	3354505	1496	0	0.00	0.00	0	NaN	25.70	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch361_file8_strand.fast5_BaseCalled_Complement.fasta.maf	ch361_file8	49.55	69	2402	+	5651	NC_005139	720027	2674	+	3354505	2787	0	0.00	0.00	0	NaN	42.51	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch211_file29_strand.fast5_BaseCalled_Complement.fasta.maf	ch211_file29	49.93	390	2741	+	4040	NC_005139	2754418	2936	+	3354505	3078	0	0.00	0.00	0	NaN	67.85	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch423_file16_strand.fast5_BaseCalled_Complement.fasta.maf	ch423_file16	50.77	57	549	+	1503	NC_005139	721667	635	+	3354505	660	0	0.00	0.00	0	NaN	36.53	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch284_file3_strand.fast5_BaseCalled_Complement.fasta.maf	ch284_file3	51.67	3425	1893	+	5371	NC_005139	754174	1930	+	3354505	2064	0	0.00	0.00	0	NaN	35.24	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch26_file75_strand.fast5_BaseCalled_Complement.fasta.maf	ch26_file75	52.06	508	2350	+	4189	NC_005139	7549	2629	+	3354505	2732	0	0.00	0.00	0	NaN	56.10	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch251_file113_strand.fast5_BaseCalled_Complement.fasta.maf	ch251_file113	50.62	95	8811	+	9181	NC_005139	1261194	5196	+	3354505	3140	0	0.00	0.00	0	NaN	95.97	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch248_file32_strand.fast5_BaseCalled_Complement.fasta.maf	ch248_file32	47.76	201	368	+	5927	NC_005139	1049582	359	+	3354505	392	0	0.00	0.00	0	NaN	6.21	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch75_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch75_file5	52.77	107	1301	+	4614	NC_005139	3051862	1437	+	3354505	1496	0	0.00	0.00	0	NaN	28.20	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch474_file49_strand.fast5_BaseCalled_Complement.fasta.maf	ch474_file49	53.14	2355	1438	+	4332	NC_005139	2966778	1531	+	3354505	1611	0	0.00	0.00	0	NaN	33.19	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch166_file29_strand.fast5_BaseCalled_Complement.fasta.maf	ch166_file29	48.49	20	955	+	1522	NC_005139	903115	1020	+	3354505	1069	0	0.00	0.00	0	NaN	62.75	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch248_file16_strand.fast5_BaseCalled_Complement.fasta.maf	ch248_file16	49.45	4987	645	+	5650	NC_005139	3258100	724	+	3354505	739	0	0.00	0.00	0	NaN	11.42	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch1_file24_strand.fast5_BaseCalled_Complement.fasta.maf	ch1_file24	48.60	10755	946	+	12018	NC_005139	904940	1037	+	3354505	1082	0	0.00	0.00	0	NaN	7.87	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch198_file37_strand.fast5_BaseCalled_Complement.fasta.maf	ch198_file37	51.80	3586	1151	+	5276	NC_005139	2897847	1214	+	3354505	1269	0	0.00	0.00	0	NaN	21.82	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch453_file96_strand.fast5_BaseCalled_Complement.fasta.maf	ch453_file96	50.16	1429	737	+	5919	NC_005139	514952	751	+	3354505	809	0	0.00	0.00	0	NaN	12.45	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch164_file61_strand.fast5_BaseCalled_Complement.fasta.maf	ch164_file61	49.91	1455	583	+	3743	NC_005139	2717327	641	+	3354505	667	0	0.00	0.00	0	NaN	15.58	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch140_file48_strand.fast5_BaseCalled_Complement.fasta.maf	ch140_file48	51.79	84	3370	+	3499	NC_005139	388180	3546	+	3354505	3790	0	0.00	0.00	0	NaN	96.31	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch181_file31_strand.fast5_BaseCalled_Complement.fasta.maf	ch181_file31	51.74	139	1834	+	7476	NC_005139	1411170	1830	+	3354505	1997	0	0.00	0.00	0	NaN	24.53	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch452_file85_strand.fast5_BaseCalled_Complement.fasta.maf	ch452_file85	48.97	1167	820	+	5869	NC_005139	665776	833	+	3354505	915	0	0.00	0.00	0	NaN	13.97	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch336_file63_strand.fast5_BaseCalled_Complement.fasta.maf	ch336_file63	49.52	830	1294	+	3520	NC_005139	1761051	1482	+	3354505	1524	0	0.00	0.00	0	NaN	36.76	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch53_file17_strand.fast5_BaseCalled_Complement.fasta.maf	ch53_file17	52.85	63	2906	+	7582	NC_005139	2715059	2997	+	3354505	3200	0	0.00	0.00	0	NaN	38.33	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch215_file125_strand.fast5_BaseCalled_Complement.fasta.maf	ch215_file125	50.71	2295	1246	+	3861	NC_005139	405368	1329	+	3354505	1401	0	0.00	0.00	0	NaN	32.27	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch285_file20_strand.fast5_BaseCalled_Complement.fasta.maf	ch285_file20	51.07	4764	1992	+	7290	NC_005139	917934	2227	+	3354505	2312	0	0.00	0.00	0	NaN	27.33	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch98_file65_strand.fast5_BaseCalled_Complement.fasta.maf	ch98_file65	48.33	112	1143	+	1314	NC_005139	2828820	1130	+	3354505	1229	0	0.00	0.00	0	NaN	86.99	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch354_file16_strand.fast5_BaseCalled_Complement.fasta.maf	ch354_file16	50.31	394	2949	+	4081	NC_005139	719447	3220	+	3354505	3357	0	0.00	0.00	0	NaN	72.26	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch281_file131_strand.fast5_BaseCalled_Complement.fasta.maf	ch281_file131	50.90	39	264	+	3837	NC_005139	3059981	262	+	3354505	287	0	0.00	0.00	0	NaN	6.88	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch374_file158_strand.fast5_BaseCalled_Complement.fasta.maf	ch374_file158	50.38	2194	1661	+	8027	NC_005139	11356	1740	+	3354505	1858	0	0.00	0.00	0	NaN	20.69	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch48_file7_strand.fast5_BaseCalled_Complement.fasta.maf	ch48_file7	51.05	3396	267	+	5690	NC_005139	1209587	283	+	3354505	295	0	0.00	0.00	0	NaN	4.69	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch244_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch244_file5	51.22	1593	653	+	9840	NC_005139	2876530	631	+	3354505	698	0	0.00	0.00	0	NaN	6.64	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch407_file38_strand.fast5_BaseCalled_Complement.fasta.maf	ch407_file38	50.95	681	1731	+	2581	NC_005139	1032352	1838	+	3354505	1940	0	0.00	0.00	0	NaN	67.07	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch306_file46_strand.fast5_BaseCalled_Complement.fasta.maf	ch306_file46	50.22	2834	1653	+	4518	NC_005139	1110620	1715	+	3354505	1839	0	0.00	0.00	0	NaN	36.59	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch83_file3_strand.fast5_BaseCalled_Complement.fasta.maf	ch83_file3	49.56	5910	670	+	6737	NC_005139	1599839	709	+	3354505	753	0	0.00	0.00	0	NaN	9.95	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch326_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch326_file4	51.49	3239	638	+	4061	NC_005139	3049744	691	+	3354505	721	0	0.00	0.00	0	NaN	15.71	0	0	0	0	0	0
