Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch184_file115_strand.fast5_BaseCalled_Template.fasta.maf	ch184_file115	52.98	707	4712	+	7372	NC_005139	624216	5059	+	3354505	5358	0	0.00	0.00	0	NaN	63.92	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch336_file63_strand.fast5_BaseCalled_Template.fasta.maf	ch336_file63	50.65	881	1106	+	3516	NC_005139	1761142	1225	+	3354505	1267	0	0.00	0.00	0	NaN	31.46	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch139_file10_strand.fast5_BaseCalled_Template.fasta.maf	ch139_file10	50.98	1	500	+	4537	NC_005139	721739	582	+	3354505	589	0	0.00	0.00	0	NaN	11.02	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch481_file7_strand.fast5_BaseCalled_Template.fasta.maf	ch481_file7	52.49	4279	752	+	6919	NC_005139	514978	768	+	3354505	819	0	0.00	0.00	0	NaN	10.87	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch223_file50_strand.fast5_BaseCalled_Template.fasta.maf	ch223_file50	49.47	2189	366	+	4738	NC_005139	2818655	422	+	3354505	428	0	0.00	0.00	0	NaN	7.72	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch110_file39_strand.fast5_BaseCalled_Template.fasta.maf	ch110_file39	51.74	986	485	+	5273	NC_005139	1297	539	+	3354505	557	0	0.00	0.00	0	NaN	9.20	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch294_file4_strand.fast5_BaseCalled_Template.fasta.maf	ch294_file4	52.83	5808	1106	+	7831	NC_005139	120232	1191	+	3354505	1245	0	0.00	0.00	0	NaN	14.12	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch11_file133_strand.fast5_BaseCalled_Template.fasta.maf	ch11_file133	51.02	3366	393	+	4230	NC_005139	1266776	402	+	3354505	430	0	0.00	0.00	0	NaN	9.29	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch326_file4_strand.fast5_BaseCalled_Template.fasta.maf	ch326_file4	51.91	6	953	+	3566	NC_005139	3056544	1083	+	3354505	1111	0	0.00	0.00	0	NaN	26.72	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch61_file24_strand.fast5_BaseCalled_Template.fasta.maf	ch61_file24	52.42	293	925	+	2270	NC_005139	2669572	965	+	3354505	1027	0	0.00	0.00	0	NaN	40.75	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch423_file16_strand.fast5_BaseCalled_Template.fasta.maf	ch423_file16	49.34	746	765	+	1524	NC_005139	3037828	846	+	3354505	870	0	0.00	0.00	0	NaN	50.20	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch244_file5_strand.fast5_BaseCalled_Template.fasta.maf	ch244_file5	51.54	4023	1510	+	9405	NC_005139	2878674	1635	+	3354505	1712	0	0.00	0.00	0	NaN	16.06	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch368_file83_strand.fast5_BaseCalled_Template.fasta.maf	ch368_file83	49.99	1536	1304	+	5649	NC_005139	3096989	1460	+	3354505	1514	0	0.00	0.00	0	NaN	23.08	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch354_file16_strand.fast5_BaseCalled_Template.fasta.maf	ch354_file16	51.32	696	3161	+	4135	NC_005139	3257793	3245	+	3354505	3460	0	0.00	0.00	0	NaN	76.44	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch314_file4_strand.fast5_BaseCalled_Template.fasta.maf	ch314_file4	51.07	1591	710	+	3211	NC_005139	2584381	748	+	3354505	793	0	0.00	0.00	0	NaN	22.11	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch251_file113_strand.fast5_BaseCalled_Template.fasta.maf	ch251_file113	51.43	418	9124	+	9650	NC_005139	1261508	4955	+	3354505	3287	0	0.00	0.00	0	NaN	94.55	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch408_file8_strand.fast5_BaseCalled_Template.fasta.maf	ch408_file8	51.75	1089	281	+	3366	NC_005139	860631	319	+	3354505	325	0	0.00	0.00	0	NaN	8.35	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch248_file16_strand.fast5_BaseCalled_Template.fasta.maf	ch248_file16	50.47	4658	604	+	5308	NC_005139	2943580	5477	+	3354505	683	0	0.00	0.00	0	NaN	11.38	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch83_file3_strand.fast5_BaseCalled_Template.fasta.maf	ch83_file3	49.92	5885	274	+	6799	NC_005139	1599835	270	+	3354505	287	0	0.00	0.00	0	NaN	4.03	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch433_file121_strand.fast5_BaseCalled_Template.fasta.maf	ch433_file121	49.80	1756	475	+	5912	NC_005139	135215	513	+	3354505	536	0	0.00	0.00	0	NaN	8.03	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file76_strand.fast5_BaseCalled_Template.fasta.maf	ch214_file76	51.13	2406	1560	+	4451	NC_005139	2713741	1781	+	3354505	1836	0	0.00	0.00	0	NaN	35.05	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch407_file43_strand.fast5_BaseCalled_Template.fasta.maf	ch407_file43	50.80	4040	945	+	6711	NC_005139	514793	1032	+	3354505	1056	0	0.00	0.00	0	NaN	14.08	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch253_file41_strand.fast5_BaseCalled_Template.fasta.maf	ch253_file41	52.01	1370	2204	+	3799	NC_005139	913088	2437	+	3354505	2535	0	0.00	0.00	0	NaN	58.02	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch375_file73_strand.fast5_BaseCalled_Template.fasta.maf	ch375_file73	52.24	3267	871	+	6864	NC_005139	1205895	936	+	3354505	990	0	0.00	0.00	0	NaN	12.69	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch166_file5_strand.fast5_BaseCalled_Template.fasta.maf	ch166_file5	53.80	1170	713	+	1985	NC_005139	662997	774	+	3354505	814	0	0.00	0.00	0	NaN	35.92	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch53_file17_strand.fast5_BaseCalled_Template.fasta.maf	ch53_file17	52.42	41	2729	+	7362	NC_005139	2715078	2890	+	3354505	3072	0	0.00	0.00	0	NaN	37.07	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch19_file194_strand.fast5_BaseCalled_Template.fasta.maf	ch19_file194	48.87	435	454	+	2335	NC_005139	924116	1239	+	3354505	510	0	0.00	0.00	0	NaN	19.44	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch284_file15_strand.fast5_BaseCalled_Template.fasta.maf	ch284_file15	51.03	6	296	+	4646	NC_005139	515384	348	+	3354505	351	0	0.00	0.00	0	NaN	6.37	0	0	0	0	0	0
