Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch285_file89_strand.fast5_BaseCalled_Complement.fasta.maf	ch285_file89	46.90	51	3165	+	3371	DNA_CS	2	3382	+	3560	3534	2427	68.68	72.00	22	3.61	93.89	8	2	2	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch135_file40_strand.fast5_BaseCalled_Complement.fasta.maf	ch135_file40	47.33	39	3030	+	3444	DNA_CS	33	3273	+	3560	3412	2239	65.62	65.01	24	3.17	87.98	7	6	3	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch406_file140_strand.fast5_BaseCalled_Complement.fasta.maf	ch406_file140	46.34	15	3200	+	3459	DNA_CS	0	3367	+	3560	3557	2505	70.42	72.42	26	4.03	92.51	15	10	7	5	5	2
N79596_dh10b_8kb_11022015_0627_1_ch162_file55_strand.fast5_BaseCalled_Complement.fasta.maf	ch162_file55	46.31	129	3252	+	3509	DNA_CS	71	3373	+	3560	3604	2447	67.90	69.73	24	3.56	92.68	12	6	5	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch135_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch135_file4	49.06	33	3169	+	3296	DNA_CS	47	3435	+	3560	3591	2399	66.81	72.79	20	3.44	96.15	11	6	3	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch154_file122_strand.fast5_BaseCalled_Complement.fasta.maf	ch154_file122	50.35	292	1973	+	2288	DNA_CS	161	2037	+	3560	2197	1470	66.91	64.25	24	3.38	86.23	5	4	1	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch452_file143_strand.fast5_BaseCalled_Complement.fasta.maf	ch452_file143	48.74	104	3374	+	3519	DNA_CS	63	3456	+	3560	3709	2492	67.19	70.82	28	3.60	95.88	13	6	4	4	1	1
N79596_dh10b_8kb_11022015_0627_1_ch99_file7_strand.fast5_BaseCalled_Complement.fasta.maf	ch99_file7	47.32	180	3332	+	3531	DNA_CS	104	3455	+	3560	3690	2471	66.96	69.98	47	3.61	94.36	15	10	8	5	3	2
N79596_dh10b_8kb_11022015_0627_1_ch199_file12_strand.fast5_BaseCalled_Complement.fasta.maf	ch199_file12	49.14	39	3410	+	3527	DNA_CS	47	3503	+	3560	3743	2522	67.38	71.51	31	3.57	96.68	16	8	4	2	1	1
N79596_dh10b_8kb_11022015_0627_1_ch18_file177_strand.fast5_BaseCalled_Complement.fasta.maf	ch18_file177	47.73	212	3060	+	3365	DNA_CS	230	3291	+	3560	3469	2330	67.17	69.24	25	3.65	90.94	14	7	5	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch176_file108_strand.fast5_BaseCalled_Complement.fasta.maf	ch176_file108	48.75	42	3232	+	3350	DNA_CS	48	3500	+	3560	3661	2439	66.62	72.81	21	3.48	96.48	11	7	3	2	0	0
N79596_dh10b_8kb_11022015_0627_1_ch302_file32_strand.fast5_BaseCalled_Complement.fasta.maf	ch302_file32	46.60	23	3362	+	3457	DNA_CS	18	3526	+	3560	3714	2680	72.16	77.52	23	4.29	97.25	20	14	12	7	1	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file68_strand.fast5_BaseCalled_Complement.fasta.maf	ch214_file68	48.99	121	1999	+	2184	DNA_CS	90	2179	+	3560	2290	1481	64.67	67.81	17	3.14	91.53	5	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch138_file0_strand.fast5_BaseCalled_Complement.fasta.maf	ch138_file0	47.48	113	2731	+	3273	DNA_CS	59	3039	+	3560	3155	1991	63.11	60.83	18	2.79	83.44	4	4	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch160_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch160_file5	48.19	28	3203	+	3279	DNA_CS	43	3517	+	3560	3703	2374	64.11	72.40	19	3.08	97.68	5	1	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file35_strand.fast5_BaseCalled_Complement.fasta.maf	ch214_file35	47.39	154	3136	+	3412	DNA_CS	71	3357	+	3560	3546	2399	67.65	70.31	24	3.52	91.91	15	8	6	3	1	0
N79596_dh10b_8kb_11022015_0627_1_ch466_file113_strand.fast5_BaseCalled_Complement.fasta.maf	ch466_file113	47.06	193	2784	+	3030	DNA_CS	236	3324	+	3560	3392	2211	65.18	72.97	20	3.42	91.88	6	4	1	0	0	0
