Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch149_file12_strand.fast5_BaseCalled_Template.fasta.maf	ch149_file12	50.51	1	5400	+	5417	gi|170079663|ref|NC_010473.1|	660273	6208	+	4686137	6370	4181	65.64	77.18	23	3.22	99.69	12	8	2	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch306_file46_strand.fast5_BaseCalled_Template.fasta.maf	ch306_file46	50.80	19	4542	+	4561	gi|170079663|ref|NC_010473.1|	392378	4751	+	4686137	5053	3460	68.47	75.86	28	3.77	99.58	26	18	10	6	3	3
N79596_dh10b_8kb_11022015_0627_1_ch19_file2_strand.fast5_BaseCalled_Template.fasta.maf	ch19_file2	52.05	4	3934	+	3944	gi|170079663|ref|NC_010473.1|	4224097	4488	+	4686137	4609	3087	66.98	78.27	33	3.46	99.75	17	10	6	5	3	3
N79596_dh10b_8kb_11022015_0627_1_ch166_file29_strand.fast5_BaseCalled_Template.fasta.maf	ch166_file29	48.96	4	1329	+	1393	gi|170079663|ref|NC_010473.1|	597784	1513	+	4686137	1559	1019	65.36	73.15	24	3.34	95.41	1	1	1	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch140_file48_strand.fast5_BaseCalled_Template.fasta.maf	ch140_file48	49.70	4	3017	+	3028	gi|170079663|ref|NC_010473.1|	3541328	3568	+	4686137	3637	2284	62.80	75.43	19	3.02	99.64	5	2	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch68_file26_strand.fast5_BaseCalled_Template.fasta.maf	ch68_file26	49.08	22	2196	+	2231	gi|170079663|ref|NC_010473.1|	1233755	2448	+	4686137	2511	1751	69.73	78.48	23	3.91	98.43	14	7	5	3	2	0
N79596_dh10b_8kb_11022015_0627_1_ch276_file108_strand.fast5_BaseCalled_Template.fasta.maf	ch276_file108	52.63	0	2707	+	2719	gi|170079663|ref|NC_010473.1|	4299190	3006	+	4686137	3127	2056	65.75	75.62	21	3.34	99.56	7	4	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch11_file127_strand.fast5_BaseCalled_Template.fasta.maf	ch11_file127	50.98	7	5433	+	5710	gi|170079663|ref|NC_010473.1|	4392526	5979	+	4686137	6270	4192	66.86	73.42	28	3.50	95.15	25	15	10	7	5	4
N79596_dh10b_8kb_11022015_0627_1_ch184_file115_strand.fast5_BaseCalled_Template.fasta.maf	ch184_file115	52.98	19	7330	+	7372	gi|170079663|ref|NC_010473.1|	3448424	7894	+	4686137	8268	5527	66.85	74.97	33	3.53	99.43	31	19	6	3	2	2
N79596_dh10b_8kb_11022015_0627_1_ch133_file64_strand.fast5_BaseCalled_Template.fasta.maf	ch133_file64	48.70	21	4223	+	4298	gi|170079663|ref|NC_010473.1|	3075390	4923	+	4686137	5016	3317	66.13	77.18	27	3.44	98.26	19	14	5	2	2	2
