Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch176_file108_strand.fast5_BaseCalled_Template.fasta.maf	ch176_file108	47.83	30	3007	+	3067	DNA_CS	52	3478	+	3560	3593	2257	62.82	73.59	20	2.87	98.04	6	4	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch199_file12_strand.fast5_BaseCalled_Template.fasta.maf	ch199_file12	48.06	69	3078	+	3152	DNA_CS	93	3460	+	3560	3551	2479	69.81	78.65	28	3.97	97.65	16	5	3	2	2	2
N79596_dh10b_8kb_11022015_0627_1_ch99_file7_strand.fast5_BaseCalled_Template.fasta.maf	ch99_file7	46.70	27	3166	+	3229	DNA_CS	45	3472	+	3560	3590	2547	70.95	78.88	32	4.07	98.05	19	12	7	5	1	1
N79596_dh10b_8kb_11022015_0627_1_ch135_file40_strand.fast5_BaseCalled_Template.fasta.maf	ch135_file40	47.67	70	2964	+	3044	DNA_CS	102	3451	+	3560	3509	2336	66.57	76.74	22	3.51	97.37	16	10	7	3	0	0
N79596_dh10b_8kb_11022015_0627_1_ch466_file113_strand.fast5_BaseCalled_Template.fasta.maf	ch466_file113	47.15	133	2801	+	2965	DNA_CS	205	3309	+	3560	3367	2137	63.47	72.07	21	2.98	94.47	3	2	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch154_file122_strand.fast5_BaseCalled_Template.fasta.maf	ch154_file122	50.19	21	1844	+	1867	DNA_CS	46	2158	+	3560	2200	1424	64.73	76.27	22	3.16	98.77	5	3	3	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file68_strand.fast5_BaseCalled_Template.fasta.maf	ch214_file68	50.07	32	2036	+	2115	DNA_CS	47	2223	+	3560	2328	1507	64.73	71.25	29	3.15	96.26	7	5	3	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch18_file177_strand.fast5_BaseCalled_Template.fasta.maf	ch18_file177	46.40	36	3240	+	3278	DNA_CS	62	3498	+	3560	3642	2493	68.45	76.05	24	3.64	98.84	12	5	3	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch285_file89_strand.fast5_BaseCalled_Template.fasta.maf	ch285_file89	47.62	10	3065	+	3112	DNA_CS	15	3486	+	3560	3578	2435	68.05	78.25	32	3.65	98.49	13	8	3	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch138_file0_strand.fast5_BaseCalled_Template.fasta.maf	ch138_file0	49.86	21	2832	+	2916	DNA_CS	47	3426	+	3560	3479	2284	65.65	78.33	30	3.51	97.12	10	7	5	3	1	1
N79596_dh10b_8kb_11022015_0627_1_ch302_file32_strand.fast5_BaseCalled_Template.fasta.maf	ch302_file32	48.30	139	3238	+	3377	DNA_CS	64	3490	+	3560	3643	2493	68.43	73.82	35	3.70	95.88	19	14	8	5	4	2
N79596_dh10b_8kb_11022015_0627_1_ch452_file143_strand.fast5_BaseCalled_Template.fasta.maf	ch452_file143	50.39	202	2874	+	3078	DNA_CS	259	3280	+	3560	3379	2059	60.94	66.89	15	2.61	93.37	1	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch160_file5_strand.fast5_BaseCalled_Template.fasta.maf	ch160_file5	48.30	44	3106	+	3172	DNA_CS	74	3472	+	3560	3568	2476	69.39	78.06	24	3.96	97.92	16	11	9	6	2	0
N79596_dh10b_8kb_11022015_0627_1_ch406_file140_strand.fast5_BaseCalled_Template.fasta.maf	ch406_file140	47.55	105	3135	+	3243	DNA_CS	96	3461	+	3560	3566	2488	69.77	76.72	47	4.01	96.67	16	11	8	3	1	1
N79596_dh10b_8kb_11022015_0627_1_ch162_file55_strand.fast5_BaseCalled_Template.fasta.maf	ch162_file55	45.57	11	3306	+	3320	DNA_CS	27	3533	+	3560	3715	2584	69.56	77.83	26	3.89	99.58	18	11	10	4	3	2
N79596_dh10b_8kb_11022015_0627_1_ch135_file4_strand.fast5_BaseCalled_Template.fasta.maf	ch135_file4	48.40	46	3208	+	3308	DNA_CS	76	3411	+	3560	3544	2560	72.23	77.39	28	4.20	96.98	20	15	9	5	4	2
N79596_dh10b_8kb_11022015_0627_1_ch214_file35_strand.fast5_BaseCalled_Template.fasta.maf	ch214_file35	48.03	24	3042	+	3067	DNA_CS	47	3509	+	3560	3601	2438	67.70	79.49	26	3.56	99.18	15	9	8	6	3	1
