Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch176_file45_strand.fast5_BaseCalled_Complement.fasta.maf	ch176_file45	53.25	150	1457	+	1722	gi|170079663|ref|NC_010473.1|	3028821	1559	+	4686137	1625	1117	68.74	64.87	18	3.60	84.61	6	3	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch452_file47_strand.fast5_BaseCalled_Complement.fasta.maf	ch452_file47	53.19	43	3100	+	3181	gi|170079663|ref|NC_010473.1|	4010513	3429	+	4686137	3603	2382	66.11	74.88	19	3.36	97.45	7	3	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch78_file1_strand.fast5_BaseCalled_Complement.fasta.maf	ch78_file1	50.99	22	612	+	655	gi|170079663|ref|NC_010473.1|	4004342	637	+	4686137	677	455	67.21	69.47	13	3.18	93.44	0	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch155_file35_strand.fast5_BaseCalled_Complement.fasta.maf	ch155_file35	49.00	14	684	+	753	gi|170079663|ref|NC_010473.1|	2834560	704	+	4686137	754	494	65.52	65.60	22	3.27	90.84	1	1	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch162_file81_strand.fast5_BaseCalled_Complement.fasta.maf	ch162_file81	52.67	25	2596	+	2692	gi|170079663|ref|NC_010473.1|	4651109	2722	+	4686137	2896	1990	68.72	73.92	27	3.84	96.43	12	8	5	3	1	1
N79596_dh10b_8kb_11022015_0627_1_ch249_file88_strand.fast5_BaseCalled_Complement.fasta.maf	ch249_file88	49.22	71	3555	+	3706	gi|170079663|ref|NC_010473.1|	2651007	3753	+	4686137	3947	2793	70.76	75.36	22	4.01	95.93	18	14	5	2	0	0
N79596_dh10b_8kb_11022015_0627_1_ch110_file125_strand.fast5_BaseCalled_Complement.fasta.maf	ch110_file125	49.27	91	1365	+	1504	gi|170079663|ref|NC_010473.1|	3423652	1449	+	4686137	1535	1071	69.77	71.21	33	4.07	90.76	7	4	3	3	1	1
N79596_dh10b_8kb_11022015_0627_1_ch155_file33_strand.fast5_BaseCalled_Complement.fasta.maf	ch155_file33	52.43	59	3587	+	3717	gi|170079663|ref|NC_010473.1|	683073	3879	+	4686137	4053	2666	65.78	71.72	30	3.26	96.50	11	6	4	2	1	1
N79596_dh10b_8kb_11022015_0627_1_ch406_file46_strand.fast5_BaseCalled_Complement.fasta.maf	ch406_file46	51.72	113	1691	+	1858	gi|170079663|ref|NC_010473.1|	2337801	1753	+	4686137	1877	1235	65.80	66.47	17	3.35	91.01	3	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch415_file17_strand.fast5_BaseCalled_Complement.fasta.maf	ch415_file17	50.56	35	5143	+	5247	gi|170079663|ref|NC_010473.1|	2510318	5202	+	4686137	5604	3818	68.13	72.77	27	3.69	98.02	27	16	8	7	2	1
N79596_dh10b_8kb_11022015_0627_1_ch14_file1_strand.fast5_BaseCalled_Complement.fasta.maf	ch14_file1	49.72	15	3817	+	3916	gi|170079663|ref|NC_010473.1|	3030694	4113	+	4686137	4297	2995	69.70	76.48	36	4.00	97.47	25	18	10	5	3	2
N79596_dh10b_8kb_11022015_0627_1_ch281_file22_strand.fast5_BaseCalled_Complement.fasta.maf	ch281_file22	50.94	58	4168	+	4260	gi|170079663|ref|NC_010473.1|	2183048	4523	+	4686137	4763	3152	66.18	73.99	21	3.18	97.84	8	6	2	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch303_file24_strand.fast5_BaseCalled_Complement.fasta.maf	ch303_file24	49.45	33	5263	+	5359	gi|170079663|ref|NC_010473.1|	3212036	5543	+	4686137	5846	4152	71.02	77.48	30	4.02	98.21	29	22	12	11	4	3
N79596_dh10b_8kb_11022015_0627_1_ch181_file18_strand.fast5_BaseCalled_Complement.fasta.maf	ch181_file18	53.55	31	5981	+	6075	gi|170079663|ref|NC_010473.1|	986335	5800	+	4686137	6405	4331	67.62	71.29	26	3.68	98.45	40	23	15	6	3	2
N79596_dh10b_8kb_11022015_0627_1_ch302_file153_strand.fast5_BaseCalled_Complement.fasta.maf	ch302_file153	49.67	80	3894	+	4095	gi|170079663|ref|NC_010473.1|	4060214	4174	+	4686137	4403	2950	67.00	72.04	25	3.35	95.09	11	6	2	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch360_file110_strand.fast5_BaseCalled_Complement.fasta.maf	ch360_file110	46.65	53	1343	+	1479	gi|170079663|ref|NC_010473.1|	1674746	1387	+	4686137	1482	1022	68.96	69.10	18	3.69	90.80	5	2	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch162_file35_strand.fast5_BaseCalled_Complement.fasta.maf	ch162_file35	49.14	68	3242	+	3319	gi|170079663|ref|NC_010473.1|	2852736	3423	+	4686137	3623	2417	66.71	72.82	37	3.52	97.68	15	10	8	5	4	3
N79596_dh10b_8kb_11022015_0627_1_ch351_file13_strand.fast5_BaseCalled_Complement.fasta.maf	ch351_file13	52.55	26	7625	+	7699	gi|170079663|ref|NC_010473.1|	141351	7948	+	4686137	8486	5760	67.88	74.81	28	3.65	99.04	29	17	12	8	5	3
N79596_dh10b_8kb_11022015_0627_1_ch42_file38_strand.fast5_BaseCalled_Complement.fasta.maf	ch42_file38	52.18	85	5483	+	5629	gi|170079663|ref|NC_010473.1|	2377342	5931	+	4686137	6216	4092	65.83	72.69	19	3.15	97.41	7	3	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch422_file14_strand.fast5_BaseCalled_Complement.fasta.maf	ch422_file14	52.20	74	736	+	933	gi|170079663|ref|NC_010473.1|	420705	744	+	4686137	801	552	68.91	59.16	18	3.47	78.89	3	2	0	0	0	0
